Id_Frigorifico,Fecha_Entrada,Fecha_Salida,Hora_Entrada,Hora_Salida,Id_Camara
FRI001,2024-12-12,2024-12-14,15:45:00,09:09:39,CAM1
FRI002,2025-02-28,2025-03-01,16:39:24,11:02:29,CAM1
FRI003,2025-04-19,2025-04-22,15:30:50,12:02:02,CAM1
FRI004,2025-04-25,2025-04-27,14:53:53,09:10:45,CAM51
FRI005,2025-08-01,2025-08-03,11:31:56,10:39:31,CAM51
FRI006,2025-08-05,2025-08-06,12:34:54,10:53:34,CAM4
FRI007,2025-08-05,2025-08-06,12:49:08,11:07:19,CAM4
FRI008,2025-08-05,2025-08-06,12:54:18,11:08:20,CAM4
FRI009,2025-09-07,2025-09-09,11:45:23,12:27:54,CAM2
